Key,Source,Context,English,German
q_GreenThumbDesc,quests,quest,"Dear Survivor,\n\ncan you plant some seeds for me? It's necessary in the apocalypse to have your own garden for surviving!\n\nPlant some Potato, Corn, Pumpkin and Mushrooms and you will rewared with some Food.","Hallo Überlebender,\n\nkannst du ein paar Samen für mich pflanzen? In der Apokalypse ist es notwendig einen eigenen Garten zu haben, um zu überleben!\n\nPflanze Kartoffeln, Mais, Kürbis und Pilze und du wirst mit etwas Essen belohnt.",
q_BuildingMats,quests,quest,Building Materials,Baumaterialien,
q_BuildingMatsDesc,quests,quest,"Dear Survivor,\n\nfor living in the apocalypse, you need premium building materials. Bring me some basic resources and i give you some premium building material.\n\nCollect some Stone, Sand and Cement and i give you some Concrete Mix.","Hallo Überlebender,\n\num in der Apokalypse zu leben, brauchst du hochwertiges Baumaterial. Bring mir ein paar einfache Ressourcen und ich gebe dir etwas hochwertiges Baumaterial.\n\nSammle etwas Stein, Sand und Zement, dann gebe ich dir etwas Betonmischung.",
q_SkillPointBook,quests,quest,Get 1 Skill Point,Erhalte 1 Skillpunkt,
q_SkillPointBookDesc,quests,quest,Fetch 1 Schematic Part and get 1 Skillpoint,Sammle 1 Bauplan-Teil und erhalte 1 Skillpunkt,

lblCategoryQuest,UI,Tooltip,Quests,Quests,
lblCategoryPerkbooks,UI,Tooltip,Perk/Crafting-Books,Fertigungs/Eigenschafts-Bücher,
lblCategorySchematics,UI,Tooltip,Schematics,Baupläne,
lblCategoryResources,UI,Tooltip,Resources,Rohstoffe,
lblCategorySpecial,UI,Tooltip,Unique,Unique

xuiSuBaS,Challenges,Challenge,Schematic Workbench,Bauplan-Werkbank,
challengeSuBaS1,Challenges,Challenge Group,Your own Schematic Workbench,Deine eigene Bauplan-Werkbank,

challengeRewardBonusSuBas,Challenges,Challenge Group Reward,20.000 XP & 300 Schematic Parts,20.000 XP & 300 Bauplan-Teile,
CRewardGRSW,Challenges,Challenge Reward,2500 XP & 100 Duke's Casino Token,2500 XP & 100 Jeton aus Dukes Kasino,
CRewardCraftSW,Challenges,Challenge Reward,3000 XP & 100 Duke's Casino Token,3000 XP & 100 Jeton aus Dukes Kasino,
CRewardplaceSW,Challenges,Challenge Reward,3500 XP & 20 Schematic Parts,3500 XP & 20 Bauplan-Teile,
CRewardscrapSW,Challenges,Challenge Reward,3500 XP & Crafting Skill Magazine Bundle,3500 XP & Fertigungs-Fertigkeit Zeitschriftenpaket,
CRewardCraftspGT,Challenges,Challenge Reward,4000 XP & 2x Crafting Skill Magazine Bundle,4000 XP & 2x Fertigungs-Fertigkeit Zeitschriftenpaket,

challengeGatherResSW,Challenges,Challenge,Gather Resources,Rohstoffe sammeln,
challengeGatherResSWShort,Challenges,Challenge,Collect raw materials.,Sammle Rohstoffe.,
challengeGatherResSWDesc,Challenges,Challenge,"Collect raw materials for production as usual. Wood, iron, plastic waste, and duct tape are required to craft the Schematic Workbench.","Sammle wie gewohnt Rohstoffe für die Herstellung. Es wird Holz, Eisen, Kunststoffabfall und Klebeband benötigt um die Bauplan-Werkbank zu fertigen.",

challengeCraftSW,Challenges,Challenge,Craft your Schematic Workbench,Stelle deine Bauplan-Werkbank her,
challengeCraftSWShort,Challenges,Challenge,"Craft your new Schematic Workbench.","Stelle deine neue Bauplan-Werkbank her.",
challengeCraftSWDesc,Challenges,Challenge,"Now that you have gathered the necessary materials, all you have to do is craft your new Schematic Workbench. It can be done in your Inventory, found in the Science category.","Da du jetzt die benötigten Materialien gesammelt hast, musst du nur noch deine neue Bauplan-Werkbank herstellen. Dies kann in deinem Inventar erledigt werden, zu finden in der Kategorie Wissenschaft.",

challengeplaceSW,Challenges,Challenge,Place your Schematic Workbench,Platziere deine Bauplan-Werkbank,
challengeplaceSWShort,Challenges,Challenge,Place your Schematic Workbench.,Platziere deine Bauplan-Werkbank,
challengeplaceSWDesc,Challenges,Challenge,Take your new Schematic Workbench in your hand and place it wherever you like.,"Nimm deine neue Bauplan-Werkbank in deine Hand und platziere sie, wo auch immer du magst.",

challengeScrapSuBaS,Challenges,Challenge,Scrap some Schematics or Books,Zerlege ein paar Baupläne oder Bücher,
challengeScrapSuBaSShort,Challenges,Challenge,"To obtain schematic parts, simply dismantle a few books or schematics.","Um Bauplan-Teile zu erhalten, zerlege einfach ein paar Bücher oder Baupläne.",
challengeScrapSuBaSDesc,Challenges,Challenge,"To obtain schematic parts, simply dismantle a few books or schematics. The best items to scrap are books you have already read or Schematics that you would otherwise sell.","Um Bauplan-Teile zu erhalten, zerlege einfach ein paar Bücher oder Baupläne. Am besten eignen sich bereits gelesene Bücher oder Baupläne, die du sonst verkaufen würdest.",

challengeCraftspGT,Challenges,Challenge,Craft your first own Questbook,Fertige dein erstes eigenes Questbuch an.,
challengeCraftspGTShort,Challenges,Challenge,"Craft your first Questbook.","Stelle dein erstes Questbuch her.",
challengeCraftspGTDesc,Challenges,Challenge,"With enough Schematic-Parts, paper, glue, and some leather, you can now craft your first quest book at your Schematic Workbench. Select the Quests tab in the Schematic Workbench, find the appropriate quest to craft, and craft it.","Mit genügend Bauplan-Teilen, Papier, Kleber und etwas Leder, kannst du nun dein erstes eigens Questbuch an deiner Bauplan-Werkbank herstellen. Wähle den Reiter Quests in der Bauplan-Werkbank und suche die entsprechende Quest zum herstellen heraus und fertige sie an.",

groupCompleteChallengeSuBaS1,Challenges,Challenge,Your own Schematic Workbench - Complete,Deine eigene Bauplan-Werkbank - Komplett,
groupCompleteChallengeSuBaS1Short,Challenges,Challenge,Collect all individual rewards to complete the series.,Sammle alle einzelnen Belohnungen ein um die Reihe abzuschließen.,
groupCompleteChallengeSuBaS1Desc,Challenges,Challenge,"Your Schematic workbench is ready and waiting for you to use it. Whether it's for a few extra quests or simply to craft the blueprints you're missing, use it however you like.","Deine Bauplan-Werkbank ist bereit und wartet darauf von dir genutzt zu werden. Sei es für ein paar zusätzliche Quests oder einfach um dir die fehlenden Baupläne herzustellen, nutze sie ganz nach belieben.",

TeleScroll,items,Item,[ffb90f]Teleport Scroll Bedroll[-],[ffb90f]Teleport Rolle Schlafsack[-],
TeleScrollDesc,items,Item,"Use the scroll to teleport back to your Bedroll","Benutze die Rolle, um dich zu deinem Schlafsack zu teleportieren.",

TeleScrollLC,items,Item,[A020F0]Teleport Scroll Landclaim[-],[A020F0]Teleport Rolle Landclaim[-],
TeleScrollLCDesc,items,Item,"Use the scroll to teleport back to your Landclaim","Benutze die Rolle, um dich zu deinem Gebietsschutzblock zu teleportieren.",

modMasterBookScrapper,item_modifiers,item_modifier,[228b22]Bookscrapping Master Certificate[-],[228b22]Buchscrapper Meister-Zertifikat[-],
modMasterBookScrapperDesc,item_modifiers,item_modifier,"You've taken apart so many blueprints and books that you're now a master at it. Here, this is your beautiful certificate for it. Always carry it with you (preferably in your pants pocket) and you'll benefit from it.","Du hast so viele Baupläne und Bücher zerlegt, dass du inzwischen ein Meister darin bist. Hier, dies ist dein wunderschönes Zertifikat dafür, trage es immer bei dir (am besten in deiner Hosentasche) und du wirst davon profitieren.",
